Comp,Crit_Think,Oral_Comm,Math,Arts,Hum,Arts_Hum,Soc_Behav1,Soc_Behav2,Soc_Behav3,Phys_Sci,Bio_Sci,Sci_Labs
,,,,MUS 104,ENGL 230A,MUS 104,GEOG 140,GEOG 140,GEOG 140,PS 100,,A&P 151
,,,,MUS 104B,ENGL 230B,MUS 104B,HIST 101,HIST 101,HIST 101,PS 112,,A&P 200
,,,,MUS 105,ENGL 231,MUS 105,HIST 102,HIST 102,HIST 102,PHYS 100,,A&P 201
,,,,MUS 180,ENGL 232,MUS 180,HIST 103,HIST 103,HIST 103,PHYS 101,,ANTH 115L
,,,,PHOT 160,ENGL 233,PHOT 160,HIST 110,HIST 110,HIST 110,PHYS 102,,BIOL 110
,,,,TH 101,ENGL 234,TH 101,HIST 120,HIST 120,HIST 120,PHYS 201,,BIOL 115
,,,,TH 102,ENGL 235,TH 102,HIST 204 ,HIST 204 ,HIST 204 ,PHYS 202,,BIOL 120
,,,,TH 103,ENGL 236,TH 103,HIST 210,HIST 210,HIST 210,PHYS 203,,BIOL 200
,,,,TH 104,ENGL 237,TH 104,HIST 230,HIST 230,HIST 230,,,BIOL 201
,,,,TH 150,ENGL 238,TH 150,HIST 235,HIST 235,HIST 235,,,BOT 120
,,,,WGS 118 ,ENGL 239,WGS 118 ,HIST 241,HIST 241,HIST 241,,,MICR 200
,,,,,ENGL 245,ASL 111,HIST 242,HIST 242,HIST 242,,,ZOOL 120
,,,,,ENGL 246A,ASL 220,HIST 245,HIST 245,HIST 245,,,
,,,,,ENGL 248A,ART 108 ,HIST 246,HIST 246,HIST 246,,,
,,,,,ENGL 248B,ART 109 ,HIST 250,HIST 250,HIST 250,,,
,,,,,ENGL 249,ART 124,HIST 255,HIST 255,HIST 255,,,
,,,,,FREN 201,ART 125 ,HIST 260,HIST 260,HIST 260,,,
,,,,,FREN 202,ART 207 ,HIST 265,HIST 265,HIST 265,,,
,,,,,FREN 281,CHIN 102,HIST 275,HIST 275,HIST 275,,,
,,,,,FREN 282,CHIN 201,HUM 107 ,HUM 107 ,HUM 107 ,,,
,,,,,FREN 283,CHIN 202,KIN 108 ,KIN 108 ,KIN 108 ,,,
,,,,,FREN 285,CHIN 260,POL 101,POL 101,POL 101,,,
,,,,,GERM 102,ENGL 102,POL 201,POL 201,POL 201,,,
,,,,,GERM 201,ENGL 106,POL 210,POL 210,POL 210,,,
,,,,,GERM 202,ENGL 221A,POL 220,POL 220,POL 220,,,
,,,,,HIST 101,ENGL 221B,POL 230,POL 230,POL 230,,,
,,,,,HIST 102,ENGL 222,POL 240,POL 240,POL 240,,,
,,,,,HIST 103,ENGL 223,PSYC 101,PSYC 101,PSYC 101,,,
,,,,,HIST 110,ENGL 224,PSYC 150,PSYC 150,PSYC 150,,,
,,,,,HIST 120,ENGL 225,PSYC 251,PSYC 251,PSYC 251,,,
,,,,,HIST 210,ENGL 226,PSYC 261,PSYC 261,PSYC 261,,,
,,,,,HIST 230,ENGL 227,PSYC 265,PSYC 265,PSYC 265,,,
,,,,,HIST 235,ENGL 228,PSYC 271,PSYC 271,PSYC 271,,,
,,,,,HIST 241,ENGL 230A,SOC 101,SOC 101,SOC 101,,,
,,,,,HIST 242,ENGL 230B,SOC 110,SOC 110,SOC 110,,,
,,,,,HIST 245,ENGL 231,SOC 120,SOC 120,SOC 120,,,
,,,,,HIST 246,ENGL 232,SOC 201,SOC 201,SOC 201,,,
,,,,,HIST 250,ENGL 233,SOC 202 ,SOC 202 ,SOC 202 ,,,
,,,,,HIST 255,ENGL 234,SOC 205,SOC 205,SOC 205,,,
,,,,,HIST 260,ENGL 235,SOC 210,SOC 210,SOC 210,,,
,,,,,HIST 265,ENGL 236,SOC 215,SOC 215,SOC 215,,,
,,,,,HIST 275,ENGL 237,SOC 250,SOC 250,SOC 250,,,
,,,,,HUM 100,ENGL 238,WGS 101,WGS 101,WGS 101,,,
,,,,,HUM 108 ,ENGL 239,WGS 105,WGS 105,WGS 105,,,
,,,,,HUM 109 ,ENGL 245,WGS 107 ,WGS 107 ,WGS 107 ,,,
,,,,,HUM 125 ,ENGL 246A,WGS 108 ,WGS 108 ,WGS 108 ,,,
,,,,,JAPN 102,ENGL 248A,WGS 115 ,WGS 115 ,WGS 115 ,,,
,,,,,PHIL 100,ENGL 248B,WGS 140,WGS 140,WGS 140,,,
,,,,,PHIL 102,ENGL 249,WGS 202 ,WGS 202 ,WGS 202 ,,,
,,,,,PHIL 104,FREN 201,WGS 204 ,WGS 204 ,WGS 204 ,,,
,,,,,PHIL 105,FREN 202,WGS 205 ,WGS 205 ,WGS 205 ,,,
,,,,,PHIL 107,FREN 281,WGS 206 ,WGS 206 ,WGS 206 ,,,
